year,iso3c,smod,pop_WPP2022,country
1950,ABW,Rural grid cells,0.008664388174985688,Aruba
1950,ABW,Urban cluster,0.02945861182501431,Aruba
1955,ABW,Rural grid cells,0.008722029984742622,Aruba
1955,ABW,Urban cluster,0.03693197001525738,Aruba
1960,ABW,Rural grid cells,0.008699448004150406,Aruba
1960,ABW,Urban cluster,0.0451605519958496,Aruba
1965,ABW,Rural grid cells,0.00863020483796245,Aruba
1965,ABW,Urban cluster,0.04987379516203755,Aruba
1970,ABW,Rural grid cells,0.008654114247364533,Aruba
1970,ABW,Urban cluster,0.050585885752635465,Aruba
1975,ABW,Rural grid cells,0.008663064153159964,Aruba
1975,ABW,Urban cluster,0.05171193584684003,Aruba
1980,ABW,Rural grid cells,0.007640948169560525,Aruba
1980,ABW,Urban cluster,0.05449705183043948,Aruba
1985,ABW,Rural grid cells,0.0068307686401844455,Aruba
1985,ABW,Urban cluster,0.05755223135981555,Aruba
1990,ABW,Rural grid cells,0.006735604759120738,Aruba
1990,ABW,Urban cluster,0.05815939524087926,Aruba
1995,ABW,Rural grid cells,0.0056781932257634945,Aruba
1995,ABW,Urban cluster,0.0702058067742365,Aruba
2000,ABW,Rural grid cells,0.005564156865987878,Aruba
2000,ABW,Urban cluster,0.08255784313401211,Aruba
2005,ABW,Rural grid cells,0.005742129423972263,Aruba
2005,ABW,Urban cluster,0.08819587057602774,Aruba
2010,ABW,Rural grid cells,0.0056319289799540645,Aruba
2010,ABW,Urban cluster,0.09418907102004592,Aruba
2015,ABW,Urban centre,0.054354928490487384,Aruba
2015,ABW,Rural grid cells,0.004839648504160728,Aruba
2015,ABW,Urban cluster,0.04474242300535188,Aruba
2020,ABW,Urban centre,0.058834302216921125,Aruba
2020,ABW,Rural grid cells,0.00450755481580466,Aruba
2020,ABW,Urban cluster,0.04332614296727422,Aruba
1950,AFG,Urban centre,1.205308164614067,Afghanistan
1950,AFG,Rural grid cells,3.835124602719887,Afghanistan
1950,AFG,Urban cluster,2.396128232666047,Afghanistan
1955,AFG,Urban centre,1.3694629656774495,Afghanistan
1955,AFG,Rural grid cells,3.944901158339484,Afghanistan
1955,AFG,Urban cluster,2.6014678759830674,Afghanistan
1960,AFG,Urban centre,1.5846468825964153,Afghanistan
1960,AFG,Rural grid cells,4.073194667025361,Afghanistan
1960,AFG,Urban cluster,2.8839064503782224,Afghanistan
1965,AFG,Urban centre,1.8989655437321356,Afghanistan
1965,AFG,Rural grid cells,4.237762490844058,Afghanistan
1965,AFG,Urban cluster,3.3203679654238076,Afghanistan
1970,AFG,Urban centre,2.3121016559465555,Afghanistan
1970,AFG,Rural grid cells,4.414693170558436,Afghanistan
1970,AFG,Urban cluster,3.8935891734950085,Afghanistan
1975,AFG,Urban centre,2.8293208720330196,Afghanistan
1975,AFG,Rural grid cells,4.588196812157717,Afghanistan
1975,AFG,Urban cluster,4.598980315809264,Afghanistan
1980,AFG,Urban centre,3.1190116506473906,Afghanistan
1980,AFG,Rural grid cells,4.897176118563442,Afghanistan
1980,AFG,Urban cluster,4.9011672307891665,Afghanistan
1985,AFG,Urban centre,2.6522748164381973,Afghanistan
1985,AFG,Rural grid cells,4.336229207343079,Afghanistan
1985,AFG,Urban cluster,3.5180659762187245,Afghanistan
1990,AFG,Urban centre,2.8814258282537843,Afghanistan
1990,AFG,Rural grid cells,4.408025669662602,Afghanistan
1990,AFG,Urban cluster,3.556472502083614,Afghanistan
1995,AFG,Urban centre,4.348450533008121,Afghanistan
1995,AFG,Rural grid cells,5.262527942753157,Afghanistan
1995,AFG,Urban cluster,6.460810524238723,Afghanistan
2000,AFG,Urban centre,5.695349494784471,Afghanistan
2000,AFG,Rural grid cells,5.600180916418789,Afghanistan
2000,AFG,Urban cluster,8.37438258879674,Afghanistan
2005,AFG,Urban centre,7.602020990346378,Afghanistan
2005,AFG,Rural grid cells,5.800385442345825,Afghanistan
2005,AFG,Urban cluster,10.453734567307796,Afghanistan
2010,AFG,Urban centre,9.427571721713367,Afghanistan
2010,AFG,Rural grid cells,6.008565391065366,Afghanistan
2010,AFG,Urban cluster,12.367032887221269,Afghanistan
2015,AFG,Urban centre,12.169645992662403,Afghanistan
2015,AFG,Rural grid cells,6.038199470698507,Afghanistan
2015,AFG,Urban cluster,15.152974536639087,Afghanistan
2020,AFG,Urban centre,15.207836781487714,Afghanistan
2020,AFG,Rural grid cells,5.996766454872436,Afghanistan
2020,AFG,Urban cluster,17.12142376363985,Afghanistan
1950,AGO,Urban centre,1.315030343611889,Angola
1950,AGO,Rural grid cells,1.3299944001288984,Angola
1950,AGO,Urban cluster,1.7878872562592123,Angola
1955,AGO,Urban centre,1.5707630145447065,Angola
1955,AGO,Rural grid cells,1.5345305746357512,Angola
1955,AGO,Urban cluster,1.7900704108195427,Angola
1960,AGO,Urban centre,1.822497119186083,Angola
1960,AGO,Rural grid cells,1.753257035703565,Angola
1960,AGO,Urban cluster,1.7377708451103526,Angola
1965,AGO,Urban centre,2.0705225636988893,Angola
1965,AGO,Rural grid cells,1.9857687849296708,Angola
1965,AGO,Urban cluster,1.6514526513714405,Angola
1970,AGO,Urban centre,2.2496331084751877,Angola
1970,AGO,Rural grid cells,2.220823790510498,Angola
1970,AGO,Urban cluster,1.4962431010143142,Angola
1975,AGO,Urban centre,2.790646045178549,Angola
1975,AGO,Rural grid cells,2.5417660361997285,Angola
1975,AGO,Urban cluster,1.5841839186217228,Angola
1980,AGO,Urban centre,3.4481233865723007,Angola
